transformer_results.txt

============================================================
ESM-2 Siamese Transformer — Final Evaluation
============================================================
Model          : facebook/esm2_t33_650M_UR50D
Embedding dim  : 1280
Best Epoch     : 27

Metrics (Validation Set)
Accuracy       : 0.8733
Precision      : 0.3581
Recall         : 0.4795
F1 Score       : 0.4100
AUROC          : 0.8379
AUPRC          : 0.4133

============================================================

Epoch-level history:
Epoch   TrainLoss   ValLoss     Acc    Prec     Rec      F1   AUROC   AUPRC
    1      1.1787    1.0585  0.6592  0.1742  0.7251  0.2809  0.7654  0.2982
    2      1.0493    0.9860  0.6962  0.1994  0.7661  0.3164  0.8038  0.3563
    3      0.9808    0.9839  0.7359  0.2189  0.7310  0.3369  0.8132  0.3572
    4      0.9351    1.0426  0.8459  0.3176  0.5906  0.4131  0.8190  0.4052
    5      0.9062    1.0127  0.8288  0.2956  0.6257  0.4015  0.8226  0.3645
    6      0.8638    1.0341  0.8175  0.2828  0.6433  0.3929  0.8224  0.4047
    7      0.8654    0.9700  0.8084  0.2796  0.6901  0.3980  0.8308  0.3971
    8      0.8247    1.0094  0.8164  0.2857  0.6667  0.4000  0.8288  0.3800
    9      0.8215    0.9502  0.8121  0.2801  0.6667  0.3945  0.8329  0.3855
   10      0.7752    1.2596  0.8561  0.3274  0.5380  0.4071  0.8221  0.3961
   11      0.7676    1.1266  0.8245  0.2914  0.6374  0.4000  0.8287  0.3951
   12      0.7394    0.9704  0.7622  0.2434  0.7544  0.3680  0.8381  0.4062
   13      0.7201    1.0130  0.7912  0.2599  0.6901  0.3776  0.8319  0.4035
   14      0.7026    1.3082  0.8465  0.3186  0.5906  0.4139  0.8332  0.3911
   15      0.6993    1.4881  0.8841  0.3963  0.5029  0.4433  0.8262  0.4025
   16      0.6437    1.1160  0.6994  0.2031  0.7778  0.3220  0.8361  0.3899
   17      0.6300    1.1018  0.7166  0.2162  0.7953  0.3400  0.8383  0.4021
   18      0.6158    1.3470  0.8449  0.3156  0.5906  0.4114  0.8313  0.3706
   19      0.6075    1.6212  0.8476  0.3172  0.5731  0.4083  0.8289  0.3911
   20      0.5676    1.4376  0.8604  0.3416  0.5614  0.4248  0.8296  0.4067
   21      0.5610    1.8993  0.8857  0.3960  0.4678  0.4290  0.8314  0.4044
   22      0.5090    1.5412  0.8390  0.3141  0.6374  0.4208  0.8378  0.4023
   23      0.5136    1.8567  0.8578  0.3454  0.6140  0.4421  0.8330  0.3992
   24      0.4891    1.3713  0.8239  0.2940  0.6550  0.4058  0.8377  0.4089
   25      0.4741    1.7008  0.8395  0.3107  0.6140  0.4126  0.8284  0.3831
   26      0.4860    1.4643  0.8400  0.3138  0.6257  0.4180  0.8377  0.3880
   27      0.4497    2.1942  0.8733  0.3581  0.4795  0.4100  0.8379  0.4133
   28      0.4358    2.5818  0.8792  0.3689  0.4444  0.4032  0.8282  0.3968
   29      0.4224    1.9492  0.8599  0.3346  0.5322  0.4108  0.8317  0.3907
   30      0.4385    1.4793  0.8078  0.2810  0.7018  0.4013  0.8368  0.4084
   31      0.3951    2.5752  0.8674  0.3550  0.5439  0.4296  0.8331  0.4031
   32      0.3773    2.5201  0.8771  0.3750  0.5088  0.4318  0.8371  0.4078
   33      0.3625    2.3545  0.8792  0.3714  0.4561  0.4094  0.8331  0.4054
   34      0.3820    3.3741  0.9055  0.4766  0.2982  0.3669  0.8254  0.3834
   35      0.3608    2.4743  0.8776  0.3722  0.4854  0.4213  0.8364  0.3930
   36      0.3035    1.9552  0.8476  0.3183  0.5789  0.4108  0.8341  0.3976
   37      0.3511    2.4373  0.8454  0.3119  0.5673  0.4025  0.8328  0.3930
   38      0.3188    2.5742  0.8551  0.3299  0.5614  0.4156  0.8308  0.3827
   39      0.2950    2.3945  0.8561  0.3274  0.5380  0.4071  0.8274  0.3906
   40      0.2826    3.1637  0.8851  0.3886  0.4386  0.4121  0.8308  0.3883
   41      0.2824    3.2452  0.8787  0.3709  0.4620  0.4115  0.8217  0.4013
   42      0.2820    3.2189  0.8814  0.3810  0.4678  0.4199  0.8372  0.3890

